Brand;Material;Variant;Color,hex
Soleyin;PLA;Ultra;Weiß;#FFFFFF
Soleyin;PLA;Ultra;Schwarz;#000000
Soleyin;PLA;Ultra;Grau;#9E9E9E
Soleyin;PLA;Ultra;Ocean Blue;#1E88E5
Soleyin;PLA;Ultra;Greenery;#43A047
Soleyin;PLA;Ultra;Pineapple yellow;#FDD835
Soleyin;PLA;Ultra;Almond Cake Purple;#8E24AA
Soleyin;PLA;Ultra;Light Green;#43A047
Soleyin;PLA;Ultra;Rosehip;
Soleyin;PLA;Ultra;Strawberry Cream;
Soleyin;PLA;Ultra;Matte Grey;#9E9E9E
Soleyin;PLA;Ultra;Matte Black;#000000
Soleyin;PLA;Ultra;Matte White;#FFFFFF
Soleyin;PLA;Ultra;Fluorite;
Soleyin;PLA;Ultra;Rosestone;
Soleyin;PLA;Ultra;Moonstone;
Creality;PLA;Hyper;Weiß;#FFFFFF
Creality;PLA;Hyper;Grau;#9E9E9E
Creality;PLA;Hyper;Blau;#1E88E5
Creality;PLA;Hyper;Rot;#E53935
Creality;PLA;Hyper;Schwarz;#000000
Creality;PLA;Hyper;Skin;
Creality;PLA;Hyper;Gelb;#FDD835
Creality;PLA;Hyper;Grün;#43A047
Creality;PLA;Hyper;Orange;#FB8C00
Creality;PLA;Hyper;Braun;#6D4C41
Creality;PLA;Hyper;Lila;#8E24AA
Creality;PLA;Hyper;Perry Blue;#1E88E5
Creality;PLA;Hyper;Erdbeerrot;#E53935
Creality;PLA;Hyper;Pfirsichpulver;
Creality;PLA;Hyper;Gold;#D4AF37
Creality;PETG;;Weiß;#FFFFFF
Creality;PETG;;Schwarz;#000000
Creality;PETG;;Transparent;
Creality;PETG;;Rot;#E53935
Creality;PETG;;Blau;#1E88E5
Creality;PETG;;Gelb;#FDD835
Creality;PETG;;Lila;#8E24AA
Creality;PETG;;Grün;#43A047
Creality;PETG;;Rosa;#FF66CC
Creality;PETG;;Transparent Blau;#1E88E5
Creality;PETG;;Grau;#9E9E9E
Creality;PETG;;Orange;#FB8C00
Creality;ABS;Hyper;Weiß;#FFFFFF
Creality;ABS;Hyper;Grau;#9E9E9E
Creality;ABS;Hyper;Schwarz;#000000
Creality;PLA CF;Hyper;Schwarz;#000000
Creality;PLA CF;Hyper;Dunkelgrün;#43A047
Creality;PLA CF;Hyper;Hellgelb;#FDD835
Creality;PLA CF;Hyper;Lila;#8E24AA
Creality;PLA CF;Hyper;Ziegelrot;#E53935
Creality;ASA;HP;Schwarz;#000000
Creality;RIFD;Hyper;Rot;#E53935
Creality;RIFD;Hyper;Blau;#1E88E5
Creality;RIFD;Hyper;Weiß;#FFFFFF
Creality;RIFD;Hyper;Schwarz;#000000
Creality;RIFD;Hyper;Lila;#8E24AA
Creality;RIFD;Hyper;Grau;#9E9E9E
Creality;RIFD;Hyper;Orange;#FB8C00
Creality;RIFD;Hyper;Grün;#43A047
Creality;RIFD;Hyper;Gelb;#FDD835
Creality;RIFD;Hyper;Gold;#D4AF37
Creality;RIFD;Hyper;Braun;#6D4C41
Creality;RIFD;Hyper;Perry Blau;#1E88E5
Creality;RIFD;Hyper;Erdbeerrot;#E53935
Creality;RIFD;Hyper;Haut;
Creality;RIFD;Hyper;Pfirsichpulver;
Creality;PETG;Hyper;Weiß;#FFFFFF
Creality;PETG;Hyper;Transparent ;
Creality;PETG;Hyper;Grau;#9E9E9E
Creality;PETG;Hyper;Grün;#43A047
Creality;PETG;Hyper;Blau;#1E88E5
Creality;PETG;Hyper;Gelb;#FDD835
Creality;PETG;Hyper;Rot;#E53935
Creality;PETG;Hyper;Schwarz;#000000
Ender;PLA+;;Weiß;#FFFFFF
Ender;PLA+;;Schwarz;#000000
Ender;PLA+;;Orange;#FB8C00
Ender;PLA+;;Grau;#9E9E9E
Ender;PLA+;;Rot;#E53935
Ender;PLA+;;Blau;#1E88E5
Ender;PLA+;;Grüne Jadefarbe;#43A047
Ender;PLA+;;Beige;#F5F5DC
Ender;PLA+;;Apfelgrün;#43A047
Sunlu;PLA;;Schwarz;#000000
Sunlu;PLA;;Weiß;#FFFFFF
Sunlu;PLA;;Grau;#9E9E9E
Sunlu;PLA;;Marmor;
Sunlu;PLA;;Rot;#E53935
Sunlu;PLA;;Orange;#FB8C00
Sunlu;PLA;;Silber;
Sunlu;PLA;;Schokolade;
Sunlu;PLA;;Zitronen Gelb;#FDD835
Sunlu;PLA;;Kirschen Rot;#E53935
Sunlu;PLA;;Himmel Blau;#1E88E5
Sunlu;PLA;;Sonniges Orange;#FB8C00
Sunlu;PLA;;Sakura Rosa;#FF66CC
Sunlu;PLA;;Mint Grün;#43A047
Sunlu;PLA;;Transparent;
Sunlu;PLA;;Gelb;#FDD835
Sunlu;PLA;;Knochenweiß;#FFFFFF
Sunlu;PLA;;Transparent Blau;#1E88E5
Sunlu;PLA;;Transparent Grün;#43A047
Sunlu;PLA;;Transparent Orange;#FB8C00
Sunlu;PLA;;Transparent Rot;#E53935
Sunlu;PLA;;Transparent Gelb;#FDD835
Sunlu;PLA;;Grasgrün;#43A047
Sunlu;PLA;;Fushia;
Sunlu;PLA;;Kohlefaser;
Sunlu;PLA;;Grün;#43A047
Sunlu;PLA;;Beige;#F5F5DC
Sunlu;PLA;;Olivgrün;#43A047
Sunlu;PLA;;Kaffee;
Sunlu;PLA;;Oak;
Sunlu;PLA;;Magenta;
Sunlu;PLA;;Kleinblau (Blau);#1E88E5
Sunlu;PLA;;Lavendelviolet;
Sunlu;PLA;;Keramik Weiß;#FFFFFF
Sunlu;PETG;;Schwarz;#000000
Sunlu;PETG;;Weiß;#FFFFFF
Sunlu;PETG;;Grau;#9E9E9E
Sunlu;PETG;;Rot;#E53935
Sunlu;PETG;;Orange;#FB8C00
Sunlu;PETG;;Silber;
Sunlu;PETG;;Schokolade;
Sunlu;PETG;;Zitronen Gelb;#FDD835
Sunlu;PETG;;Kirschen Rot;#E53935
Sunlu;PETG;;Himmel Blau;#1E88E5
Sunlu;PETG;;Sonniges Orange;#FB8C00
Sunlu;PETG;;Sakura Rosa;#FF66CC
Sunlu;PETG;;Mint Grün;#43A047
Sunlu;PETG;;Transparent;
Sunlu;PETG;;Gelb;#FDD835
Sunlu;PETG;;Cyan;
Sunlu;PETG;;Transparent Blau;#1E88E5
Sunlu;PETG;;Transparent Grün;#43A047
Sunlu;PETG;;Transparent Orange;#FB8C00
Sunlu;PETG;;Transparent Rot;#E53935
Sunlu;PETG;;Transparent Gelb;#FDD835
Sunlu;PETG;;Fushia;
Sunlu;PETG;;Kohlefaser;
Sunlu;PETG;;Blau;#1E88E5
Sunlu;PETG;;Grün;#43A047
Sunlu;PETG;;Beige;#F5F5DC
Sunlu;PETG;;Transparent Lila;#8E24AA
Sunlu;PETG;;Olivgrün;#43A047
Sunlu;PETG;;Kaffee;
Sunlu;PETG;;Rosa;#FF66CC
Sunlu;PETG;;Knochenweiß;#FFFFFF
Sunlu;PETG;;Magenta;
Sunlu;PETG;;Dunkle Nacht Schwarz;#000000
Sunlu;PETG;;Lavendelviolet;
Sunlu;PETG;;Kaffeebraun;#6D4C41
Sunlu;PLA+;;Schwarz;#000000
Sunlu;PLA+;;Weiß;#FFFFFF
Sunlu;PLA+;;Grau;#9E9E9E
Sunlu;PLA+;;Rot;#E53935
Sunlu;PLA+;;Orange;#FB8C00
Sunlu;PLA+;;Silber;
Sunlu;PLA+;;Schokolade;
Sunlu;PLA+;;Zitronen Gelb;#FDD835
Sunlu;PLA+;;Kirschen Rot;#E53935
Sunlu;PLA+;;Himmel Blau;#1E88E5
Sunlu;PLA+;;Sonniges Orange;#FB8C00
Sunlu;PLA+;;Sakura Rosa;#FF66CC
Sunlu;PLA+;;Mint Grün;#43A047
Sunlu;PLA+;;Transparent;
Sunlu;PLA+;;Gelb;#FDD835
Sunlu;PLA+;;Cyan;
Sunlu;PLA+;;Transparent Blau;#1E88E5
Sunlu;PLA+;;Transparent Grün;#43A047
Sunlu;PLA+;;Transparent Orange;#FB8C00
Sunlu;PLA+;;Transparent Rot;#E53935
Sunlu;PLA+;;Transparent Gelb;#FDD835
Sunlu;PLA+;;Fushia;
Sunlu;PLA+;;Grün;#43A047
Sunlu;PLA+;;Olivgrün;#43A047
Sunlu;PLA+;;Kaffee;
Sunlu;PLA+;;Knochenweiß;#FFFFFF
Sunlu;PLA+;;Oak;
Sunlu;PLA+;;Magenta;
Sunlu;PLA+;;Dunkle Nacht Schwarz;#000000
Sunlu;PLA+;;Kleinblau (Blau);#1E88E5
Sunlu;PLA+;;Keramik Weiß;#FFFFFF
Sunlu;PLA+;;Geröstete Kastanie;
Sunlu;PLA;Meta;Meta Schwarz;#000000
Sunlu;PLA;Meta;Meta Weiß;#FFFFFF
Sunlu;PLA;Meta;Meta Grau;#9E9E9E
Sunlu;PLA;Meta;Meta Blau;#1E88E5
Sunlu;PLA;Meta;Meta Rot;#E53935
Sunlu;PLA;Meta;Meta Gelb;#FDD835
Sunlu;PLA;Meta;Meta Rosa;#FF66CC
Sunlu;PLA;Meta;Meta Grün;#43A047
Sunlu;ABS;;Schwarz;#000000
Sunlu;ABS;;Weiß;#FFFFFF
Sunlu;ABS;;Grau;#9E9E9E
Sunlu;ABS;;Rot;#E53935
Sunlu;PLA;Matt;Matt Schwarz;#000000
Sunlu;PLA;Matt;Matt Weiß;#FFFFFF
Sunlu;PLA;Matt;Matt Grau;#9E9E9E
Sunlu;PLA;Matt;Matt Rot;#E53935
Sunlu;PLA;Matt;Matt Blau;#1E88E5
Sunlu;PLA;Matt;Matt Grün;#43A047
Sunlu;PLA;Matt;Matt Rosa;#FF66CC
Sunlu;PLA;Matt;Matt Orange;#FB8C00
Sunlu;PLA;Matt;Matt Hellgelb;#FDD835
Sunlu;PLA;Matt;Matt Clay;
Sunlu;PLA;Matt;Matt Olivgrün;#43A047
Sunlu;PLA;Matt;Matt Helles Blau;#1E88E5
Sunlu;PLA;Matt;Matt Rosa Blau;#1E88E5
Sunlu;PLA;Matt;Matt Schwarz Rot;#000000
Sunlu;PLA;Matt;Matt Rot Gelb;#E53935
Sunlu;PLA;Matt;Matt Rot Blau;#E53935
Sunlu;PLA;Matt;Matt Gelb Cyan;#FDD835
Sunlu;PLA;Matt;Matt Schwarz Blau;#000000
Sunlu;PLA;Matt;Matt Orange Rot;#E53935
Sunlu;PLA;Matt;Matt Grün Lila;#43A047
Sunlu;PLA;Glow in the Dark;Gelb zu Gelb;#FDD835
Sunlu;PLA;Glow in the Dark;Rot zu Rot;#E53935
Sunlu;PLA;Glow in the Dark;Blau zu Blau;#1E88E5
Sunlu;PLA;Glow in the Dark;Grün zu Grün;#43A047
Sunlu;PLA;Glow in the Dark;Weiß zu Blau;#FFFFFF
Sunlu;PLA;Glow in the Dark;Weiß zu Grün;#FFFFFF
Sunlu;TPU;Silk;Weinrot;#E53935
Sunlu;TPU;Silk;Schwarz;#000000
Sunlu;TPU;Silk;Cream;
Sunlu;TPU;Silk;Dunkelblau;#1E88E5
Sunlu;TPU;Silk;Hellblau;#1E88E5
Sunlu;PLA;High Speed;Schwarz +;#000000
Sunlu;PLA;High Speed;Weiß +;#FFFFFF
Sunlu;PLA;High Speed;Grau + ;#9E9E9E
Sunlu;PLA;High Speed;Blau +;#1E88E5
Sunlu;PLA;High Speed;Grün +;#43A047
Sunlu;PLA;High Speed;Orange +;#FB8C00
Sunlu;PLA;High Speed;Rosa +;#FF66CC
Sunlu;PLA;High Speed;Rot +;#E53935
Sunlu;PLA;High Speed;Gelb +;#FDD835
Sunlu;PLA;AntiString;Schwarz APLA;#000000
Sunlu;PLA;AntiString;Grau APLA;#9E9E9E
Sunlu;PLA;AntiString;Hellblau APLA;#1E88E5
Sunlu;PLA;AntiString;Olivgrün APLA;#43A047
Sunlu;PLA+;Silk;Schwarz;#000000
Sunlu;PLA+;Silk;Weiß;#FFFFFF
Sunlu;PLA+;Silk;Grau;#9E9E9E
Sunlu;PLA+;Silk;Helles Gold;#D4AF37
Sunlu;PLA+;Silk;Rotkupfer;#E53935
Sunlu;PLA+;Silk;Rot;#E53935
Sunlu;PLA+;Silk;Silber;
Sunlu;PLA+;Silk;Schwarz + Blau;#000000
Sunlu;PLA+;Silk;Schwarz + Gold;#000000
Sunlu;PLA+;Silk;Schwarz + Grün;#000000
Sunlu;PLA+;Silk;Schwarz + Lila;#000000
Sunlu;PLA+;Silk;Rosa + Gold;#FF66CC
Sunlu;PLA+;Silk;Rot + Blau;#E53935
Sunlu;PLA+;Silk;Rot + Gold;#E53935
Sunlu;PLA+;Silk;Blau + Grün + Lila;#1E88E5
Sunlu;PLA+;Silk;Rot + Gelb + Grün;#E53935
Sunlu;PLA+;Silk;Lila;#8E24AA
Sunlu;PLA+;Silk;Rosa;#FF66CC
Sunlu;PLA+;Silk;Blau;#1E88E5
Sunlu;PLA+;Silk;Gelb;#FDD835
Sunlu;PLA+;Silk;Bronze;
Sunlu;PLA+;Silk;Messing;
Sunlu;PLA+;Silk;Schwarz + Weiß;#000000
Sunlu;PLA+;Silk;Orange + Blau + Grün;#1E88E5
Sunlu;PLA+;Silk;Schwarz Gold Lila;#000000
Sunlu;PLA+;Silk;Rot + Gelb + Blau;#E53935
Sunlu;ASA;;Schwarz;#000000
Sunlu;ASA;;Rot;#E53935
Sunlu;ASA;;Natürliche Frabe;
Sunlu;PVB;;Schwarz;#000000
Sunlu;PVB;;Weiß;#FFFFFF
Sunlu;PLA+;2.0;Schwarz;#000000
Sunlu;PLA+;2.0;Weiß;#FFFFFF
Sunlu;PLA+;2.0;Grau;#9E9E9E
Sunlu;PLA+;2.0;Rot;#E53935
Sunlu;PLA+;2.0;Silber;
Sunlu;PLA+;2.0;Gelb;#FDD835
Sunlu;PLA+;2.0;Grün;#43A047
Sunlu;PLA+;2.0;Blaugrau;#1E88E5
Sunlu;PLA+;2.0;Fuchsia;
Sunlu;PETG;Matt;Knochenweiß;#FFFFFF
Sunlu;PETG;Matt;Matt Schwarz;#000000
Sunlu;PETG;Matt;Matt Weiß;#FFFFFF
Sunlu;PETG;Matt;Matt Grau;#9E9E9E
Sunlu;PETG;Matt;Matt Rot;#E53935
Sunlu;PETG;Matt;Matt Blau;#1E88E5
Sunlu;PETG;Matt;Matt Grün;#43A047
Sunlu;PETG;Matt;Matt Rosa;#FF66CC
Sunlu;PETG;Matt;Matt Orange;#FB8C00
Sunlu;PETG;Matt;Matt Mintgrün;#43A047
Sunlu;PETG;Matt;Matt Himmelblau;#1E88E5
Sunlu;PETG;Matt;Matt Gelb;#FDD835
Sunlu;PETG;Glow in the Dark;Gelb zu Gelb;#FDD835
Sunlu;PETG;Glow in the Dark;Rot zu Rot;#E53935
Sunlu;PETG;Glow in the Dark;Blau zu Blau;#1E88E5
Sunlu;PETG;Glow in the Dark;Grün zu Grün;#43A047
Sunlu;PETG;Glow in the Dark;Weiß zu Blau;#FFFFFF
Sunlu;PETG;Glow in the Dark;Weiß zu Grün;#FFFFFF
Sunlu;Marmor;High Speed;Helles Cyan Marmor;
Sunlu;Marmor;High Speed;Knochenbeige Marmor;#F5F5DC
Sunlu;Marmor;High Speed;Ziegelrot Marmor;#E53935
Sunlu;Marmor;High Speed;Hell Grau Marmor;#9E9E9E
Sunlu;Marmor;High Speed;Kühles Weiß Marmor;#FFFFFF
Sunlu;Marmor;High Speed;Zementgrau Marmor;#9E9E9E
Sunlu;PLA;Matt High Speed;MATT Schwarz;#000000
Sunlu;PLA;Matt High Speed;MATT Weiß;#FFFFFF
Sunlu;PLA;Matt High Speed;MATT Grau;#9E9E9E
Sunlu;PLA;Matt High Speed;MATT Mintgrün;#43A047
Sunlu;PLA;Matt High Speed;MATT Himmelblau;#1E88E5
Sunlu;PLA;Matt High Speed;MATT Olivgrün;#43A047
Sunlu;PLA;Matt High Speed;MATT Schokolade;
Sunlu;PLA;Matt High Speed;MATT Sonnigesorange;#FB8C00
Sunlu;PLA;Matt High Speed;MATT Sakura Rosa;#FF66CC
Sunlu;PLA;Matt High Speed;MATT Zitronengelb;#FDD835
Sunlu;PLA;Matt High Speed;MATT Kirschenrot;#E53935
Jayo;PLA;Klassisch;PLA Klassisch Schwarz;#000000
Jayo;PLA;Klassisch;PLA Klassisch Weiß;#FFFFFF
Jayo;PLA;Klassisch;PLA Klassisch Grau;#9E9E9E
Jayo;PLA;Klassisch;PLA Klassisch Schokolade;
Jayo;PLA;Klassisch;PLA Klassisch Kirschrot;#E53935
Jayo;PLA;Klassisch;PLA Klassisch Himmelblau;#1E88E5
Jayo;PLA;Klassisch;PLA Klassisch Mintgrün;#43A047
Jayo;PLA;Klassisch;PLA Klassisch Sonniges Orange;#FB8C00
Jayo;PLA;Klassisch;PLA Klassisch Zitronen Gelb;#FDD835
Jayo;PLA;Klassisch;PLA Klassisch Sakura Rosa;#FF66CC
Jayo;PLA;Klassisch;PLA Klassisch Olivgrün;#43A047
Jayo;PLA;;Schwarz;#000000
Jayo;PLA;;Weiß;#FFFFFF
Jayo;PLA;;Grau;#9E9E9E
Jayo;PLA;;Rot ;#E53935
Jayo;PLA;;Blau;#1E88E5
Jayo;PLA;;Grün;#43A047
Jayo;PLA;;Orange;#FB8C00
Jayo;PLA;;Gelb;#FDD835
Jayo;PLA;;Beige;#F5F5DC
Jayo;PLA;;Lila;#8E24AA
Jayo;PLA;;Transparent;
Jayo;PLA;;Transparent Rot;#E53935
Jayo;PLA;;Transparent Blau;#1E88E5
Jayo;PLA;;Transparent Grün;#43A047
Jayo;PLA;;Transparent Orange;#FB8C00
Jayo;PLA;;Transparent Gelb;#FDD835
Jayo;PLA;;Silber;
Jayo;PLA;;Gold;#D4AF37
Jayo;PLA;;Wurzelholz;
Jayo;PLA;;Olivgrün;#43A047
Jayo;PLA;;Schokolade;
Jayo;PLA;;Kirschrot;#E53935
Jayo;PLA;;Himmelblau;#1E88E5
Jayo;PLA;;Minzgrün;#43A047
Jayo;PLA;;Sonniges Orange;#FB8C00
Jayo;PLA;;Zitronengelb;#FDD835
Jayo;PLA;;Sakura Rosa;#FF66CC
Jayo;PLA;;Transparent Lila;#8E24AA
Jayo;PLA;;Kaffee;
Jayo;PLA;;PLA Funkeln;
Jayo;PLA;;PLA Galaxie Schwarz;#000000
Jayo;PLA;;PLA Galaxie Grün;#43A047
Jayo;PLA;;PLA Galaxie Lila;#8E24AA
Jayo;PLA+;;PLA+ Schwarz;#000000
Jayo;PLA+;;PLA+ Weiß;#FFFFFF
Jayo;PLA+;;PLA+ Grau;#9E9E9E
Jayo;PLA+;;PLA+ Rot;#E53935
Jayo;PLA+;;PLA+ Blau;#1E88E5
Jayo;PLA+;;PLA+ Grün;#43A047
Jayo;PLA+;;PLA+ Orange;#FB8C00
Jayo;PLA+;;PLA+ Gelb;#FDD835
Jayo;PLA+;;PLA+ Fuchsia;
Jayo;PLA+;;PLA+ Cyan;
Jayo;PLA+;;PLA+ Transparent;
Jayo;PLA+;;PLA+ Transparent Rot;#E53935
Jayo;PLA+;;PLA+ Transparent Blau;#1E88E5
Jayo;PLA+;;PLA+ Transparent Grün;#43A047
Jayo;PLA+;;PLA+ Transparent Orange;#FB8C00
Jayo;PLA+;;PLA+ Transparent Gelb;#FDD835
Jayo;PLA+;;PLA+ Transparent Lila;#8E24AA
Jayo;PLA+;;PLA+ Silber;
Jayo;PLA+;;PLA+ Olivgrün;#43A047
Jayo;PLA+;;PLA+ Lila;#8E24AA
Jayo;PLA+;;PLA+ Schokolade;
Jayo;PLA+;;PLA+ Kirschrot;#E53935
Jayo;PLA+;;PLA+ Himmelblau;#1E88E5
Jayo;PLA+;;PLA+ Minzgrün;#43A047
Jayo;PLA+;;PLA+ Sonniges Orange;#FB8C00
Jayo;PLA+;;PLA+ Zitronengelb;#FDD835
Jayo;PLA+;;PLA+ Sakura Rosa;#FF66CC
Jayo;PLA+;;PLA+ Kaffee;
Jayo;PLA+;;PLA+ Gold;#D4AF37
Jayo;PLA+;;PLA+ Grasgrün;#43A047
Jayo;PETG;;PETG Schwarz;#000000
Jayo;PETG;;PETG Weiß;#FFFFFF
Jayo;PETG;;PETG Grau;#9E9E9E
Jayo;PETG;;PETG Rot;#E53935
Jayo;PETG;;PETG Blau;#1E88E5
Jayo;PETG;;PETG Grün;#43A047
Jayo;PETG;;PETG Orange;#FB8C00
Jayo;PETG;;PETG Transparent;
Jayo;PETG;;PETG Transparent Rot;#E53935
Jayo;PETG;;PETG Transparent Blau;#1E88E5
Jayo;PETG;;PETG Transparent Grün;#43A047
Jayo;PETG;;PETG Transparent Orange;#FB8C00
Jayo;PETG;;PETG Transparent Gelb;#FDD835
Jayo;PETG;;PETG Gelb;#FDD835
Jayo;PETG;;PETG Olivgrün;#43A047
Jayo;PETG;;PETG Silber;
Jayo;PETG;;PETG Kaffee;
Jayo;PETG;;PETG Kirschrot;#E53935
Jayo;PETG;;PETG Himmelblau;#1E88E5
Jayo;PETG;;PETG Minzgrün;#43A047
Jayo;PETG;;PETG Sonniges Orange;#FB8C00
Jayo;PETG;;PETG Zitronengelb;#FDD835
Jayo;PETG;;PETG Schokolade;
Jayo;PETG;;PETG Sakura Rosa;#FF66CC
Jayo;PETG;;PETG Kohlefaser;
Jayo;PLA+;Silk;SILK PLA+ Schwarz;#000000
Jayo;PLA+;Silk;SILK PLA+ Weiß;#FFFFFF
Jayo;PLA+;Silk;SILK PLA+ Grau;#9E9E9E
Jayo;PLA+;Silk;SILK PLA+ Gold;#D4AF37
Jayo;PLA+;Silk;SILK PLA+ Silber;
Jayo;PLA+;Silk;SILK PLA+ Rotes Kupfer;#E53935
Jayo;PLA+;Silk;Zweifarbig Schwarz & Blau;#000000
Jayo;PLA+;Silk;Zweifarbig Schwarz & Grün;#000000
Jayo;PLA+;Silk;Zweifarbig Schwarz & Gold;#000000
Jayo;PLA+;Silk;Zweifarbig Schwarz & Lila;#000000
Jayo;PLA+;Silk;Zweifarbig Rosa & Gold;#FF66CC
Jayo;PLA+;Silk;Zweifarbig Rot & Blau;#E53935
Jayo;PLA+;Silk;Zweifarbig Rot & Gold;#E53935
Jayo;PLA+;Silk;Dreifarbig Blau & Grün & Lila;#1E88E5
Jayo;PLA+;Silk;Dreifarbig Rot & Gelb & Grün;#E53935
Jayo;PLA+;Silk;Zweifarbig Blau & Grün;#1E88E5
Jayo;PLA+;Silk;Zweifarbig Grün & Lila;#43A047
Jayo;PLA+;Silk;Zweifarbig Schwarz & Weiß;#000000
